LakeNum,LakeName,County,Town,Area (ac),Area (ha),WshedArea (ac),WshedArea (ha),Wshed/Area,Zmax (ft),Zmax (m),Zmean (ft),"Zmean (m), orange=calc.",ZmeanCalc?,Residence,Years,Dlatitude,Dlongitude,Class,DamClass,Potable Water?,Swimming beach?,Fish impacts?,Invasive Plants?,Invasive Animals?,Distance to Nearby AIS (mi),Name of Nearest Infected Lake (fixed?),>1HAB Notification?,Multiple Years HAB Notification?,PotableWater PWL,Bathing  PWL,Recreation PWL,AquaticLife PWL,Aesthetics PWL,Habitat PWL,FishConsumption PWL,Date 1st HAB listing 18,Date Last HAB listing 18,#Wks HAB Notification 18,#Wks HAB Updates 18,#Wks HAB Updates 17,#Wks HAB Updates 16,#Wks HAB Updates 15,#Wks HAB Updates 14,#Wks HAB Updates 13,#Wks HAB Updates 12,Weed Management?,Lake Assn Name,Sampled >2011?,18 Samplers,CSLAP Region,Watershed,Exp Region,ExpRegion2,CSLAP,Sampled 2018?,Yrs Last 5,#Yrs>1HABsUpdates,Shore HABs PWS Score,Shore HABs Rec Score,Program,Zebras,Runoff (m),PWS-Days Closed,PWS-Treatments,PWS-MCL Violations,Beach-#Days Closures,Beach-Control measures,Algae Control Measures,Weed Control Measures,Plants,,
,Erwin Pond,Steuben,Erwin,9,4,,,,15.7,4.8,,,,,2018,42.1575,-77.1711,,,,,,,,,,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,,,,,0,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,
,Evens Lake,Sullivan,Loch Sheldrake,32,13,1814,734,56.5,6.6,2.0,,0.9,yes,,2015,41.765001,-74.652425,B,B,no,,,none reported,none reported,1.0,Morningside Lake,"2015, 2016",yes,NA,Fully supported,Stressed,Fully supported,Good,Good,Fully Supported,4-Aug,18-Aug,3,2,2,2,9,0,0,0,,,yes,,,Delaware River,Mid Atlantic,Mid Hudson,LCI,no,,2,2,1,LCI,no,,,,,,,,,,,
,Fairport West Reservoir,Ontario,East Bloomfield,26,10,922,373,35.9,,,,,yes,,,42.935171,-77.440102,A,B,yes,,,,,,,,,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,"August: Scott Kishbaugh, BL",,Seneca/Oneida/Oswego Rivers,,,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Fall Kill Pond,Dutchess,Hyde Park,,,,,,13.1,4.0,,,,,2018,41.737755,-73.898641,,,,,,Fanwort,,,,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fifth Lake (Essex Chain),Essex,Newcomb,51,21,2874,1163,56.2,,,,,yes,,,43.889316,-74.232464,C(T),,no,,,,,,,,,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,Fulton Chain of Lakes Association,yes,"August: David Kelley, Rebecca Gorney",,Upper Hudson River,eastern Adk,,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
24,Findley Lake,Chautauqua,Findley Lake,307,124,3064,1240,10.0,38.4,11.7,10.8,3.3,no,0.50,"1986-2000, 2003-2013, 2015, 2018",42.10604,-79.72616,B,A,no,Paradise Bay Park & Campground; Camp Findley Children's Beach,none reported,Eurasian watermilfoil,none reported,0,,2015,no,NA,Stressed,Impaired,Fully supported,Poor,Fair,Unassessed,18-Aug,20-Oct,10,4,4,1,7,0,0,0,,Findley Lake Watershed Foundation ,yes,,Western,Allegheny River,western NY,western ny,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
183,Forest Lake,Rensselaer,Grafton,19,8,209,85,10.8,15.4,4.7,7.2,2.2,no,0.41,"2003-2006, 2009-2011, 2013-2018",42.73210,-73.46100,A,A,yes,Camp Barker,none reported,none reported,none reported,4.0,Long Pond,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Forest Lake Park Club,yes,David Bruso,Central,Lower Hudson River,east central,mid Hudson,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Francis Pond,Oswego,Constantia,51,21,831,336,16.2,26.9,8.2,,3.8,yes,,2012,43.28849,-75.93698,C(T),A,no,,,none reported,none reported,3.2,Panther Lake,,,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Seneca/Oneida/Oswego Rivers,,Central NY,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Fredonia Reservoir,Chautauqua,Fredonia,45,18,3416,1382,76.4,49.2,15.0,,,no,,2016,42.3972245,-79.309287,A,C,yes,,,Eurasian watermilfoil; brittle naiad,none reported,0,,,,Threatened,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,yes,"June: David Kelley, Rebecca Gorney; July: David Kelley, DC; August: David Neuman, Molly; September: Scott Kishbaugh, RR",,Lake Erie/Niagara River,western NY,western ny,LCI,yes,,0,0,0,LCI,no,,,,,,,,,,,
258,Fresh Pond,Suffolk,Shelter Island,14,6,,,,45.9,14.0,,,no,,,41.05711,-72.33633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Friends Lake,Warren,Chester,454,184,3558,1440,7.8,30.0,8.9,13.8,4.2,no,0.90,"1991-1995, 2001-2010, 2012-2014, 2016-2018",43.62590,-73.84400,AAspec,B,yes,Lone Rock Cottages,none reported,none reported,banded mystery snail,0,,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,1,0,0,0,,Friends Lake Property Owners Association,yes,"Larry and Estill, John Daly, Louis Fortin, Lawrence Hodgson",Adirondack,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
,Fulton Fifth Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fulton Fourth Lake,Hamilton,Inlet,32,13,23803,9633,741.0,85.0,25.9,33.5,10.2,no,1.29,2013,43.75658,-74.79906,C(T),,no,Arrowhead Park Beach; Nelson's Cottages; Peter's Cottages; Harvey's 4th Lake Cottages; Quinn's Lakeside Cottages; Black Bear Lodges; Sunset Beach Cottages; Stiefavter's Lakeside Cottages; Fulton House; Brynilsen's Viking Village; FJ Four Seasons; Kenmore Cottages; Camp Mark VII; Turner Camps; Eagle Bay Village; Palmer Point Cottages,,Curly-leafed pondweed,none reported,1.4,Fulton 6th Lake,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Impaired,NA,NA,0,0,0,0,0,0,0,0,,Fulton Chain of Lakes Association,yes,,,Black River,western Adk,western Adk,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
13,Fulton Second Lake,Herkimer,Old Forge,262,106,27849,11270,106.1,85.0,25.9,51.2,15.6,no,0.34,"1986-1990, 1995-2012, 2018",43.72121,-74.91151,A,,yes,,none reported,variable leaf watermilfoil,none reported,0,,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Impaired,NA,NA,0,0,0,0,0,0,0,0,,Fulton Chain of Lakes Association,,,,Black River,western Adk,western Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Fulton Sixth Lake,Hamilton,Inlet,122,49,11050,4472,90.9,33.8,10.3,,,no,,2012-2013,43.74903,-74.77357,A(T),C,yes,Deming Trailer park; Clayton's Cottages,,Variable watermilfoil; Eurasian watermilfoil,none reported,0,,,,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,Fulton Chain of Lakes Association,yes,,,Black River,western Adk,western Adk,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Fulton Third Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Galway Lake,Saratoga,Galway,518,210,5911,2392,11.4,20.7,6.3,8.5,2.6,no,0.45,"1990-1997, 2000-2010, 2012-2018",43.03070,-74.07450,B,B,no,,none reported,Eurasian watermilfoil; water chestnut; brittle naiad,none reported,0,,,,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Galway Lake Campers Association,yes,"Edward Piotrowski, Tim Forbes, Bruce Kniskern",Central,Mohawk River,east central,Mohawk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
56,Garnet Lake,Warren,Johnsburg,314,127,2293,928,7.3,,,12.8,3.9,no,1.05,"1989-1993, 2000-2001, 2017",43.52535,-74.02261,A,C,yes,Garnet Lake Lodge & Cottages,none reported,none reported,none reported,11.3,Friends Lake,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Garnet Lake Civic Association,,,,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
69,Geneganslet Lake,Chenango,McDonough,102,41,3225,1305,31.5,60.0,18.3,27.9,8.5,no,0.67,"1990-2010, 2012-2016, 2018",42.51730,-75.77480,B,,no,,none reported,none reported,none reported,2.4,Balsam Pond,,,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Geneganslet Lake Association,yes,"Elliott LaRose, Linda Best, Roger Monaco, Ann Scorza, Debora Waziak",Central,Susquehanna River,west central,Central NY,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
247,Glass Lake,Rensselaer,Sand Lake,125,51,2778,1124,22.3,69.9,21.3,29.5,9.0,no,,2017-2018,42.62202691,-73.53023295,B(T),B,no,,,Eurasian Watermilfoil,Cirile Crayfish,0,,,,NA,Unassessed,Stressed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,Glass Lake Preservation Corporation,,"David Cairns, Jeff Clark, Barth Neitzel, and Alfred Aita",,,,,,,,,,,,,,,,,,,,,,,
8,Glen Lake,Warren,Glens Falls,320,130,7339,2970,22.9,50.0,15.0,18.4,5.6,no,0.60,"1986-1990, 1993-1995, 1997-2018",43.36360,-73.67320,B(T),A,no,Glenmoore Lodge,none reported,"Eurasian watermilfoil, Curly leafed pondweed, brittle naiad",zebra mussels,0,,,,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,16-Jun,25-Jun,2,1,1,0,0,0,0,0,herbicides,Glen Lake Protective Association,yes,"Paul Derby, Lorraine Stein, Lisa and David Doster",Adirondack,Lake Champlain,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,yes,,,,,,,,,,,
,Glenmere Lake,Orange,Florida,320,130,1535,621,4.8,8.2,2.5,,,no,,2012-2013,41.335157,-74.33002,AA,C,yes,,,Eurasian watermilfoil,none reported,0,,,,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Lower Hudson River,,lower Hudson,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Glenwood Lake,Orleans,Medina,77,31,100290,40585,1305.0,44.9,13.7,,,no,,2016,43.2336977,-78.3906698,C ,C,no,,,Eurasian watermilfoil; curly-leafed pondweed,none reported,8.9,Lake Alice,,,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,Glenwood Lake Association,yes,"June: David Kelley, Rebecca Gorney; July: David Kelley, Molly S; September: Scott Kishbaugh, Molly S",,Lake Ontario,Ontario,western ny,LCI,yes,,0,0,0,LCI,no,,,,,,,,,,,
,Goodhue Lake,Steuben,Addison,26,10,403,163,15.7,16.4,5.0,,2.3,yes,,,42.181485,-77.276695,B,A,no,,,Eurasian watermilfoil,none reported,0,,2012,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,2,,,yes,,,Chemung River,Finger Lakes,Finger Lakes,LCI,no,,1,1,0,LCI,no,,,,,,,,,,,
,Goodluck Lake,Hamilton,,78,31,1216,492,15.7,0.0,,,,yes,,2017,43.24940,-74.539722,N,n/a,no,,,none reported,none reported,7.5,West Caroga Lake,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Goodnow Flow,Essex,Newcomb,339,137,16267,6583,47.9,15.4,4.7,6.2,1.9,no,0.06,"1986-1990, 1993, 1997-2000, 2007-2012, 2014-2015,2017-2018",43.91707,-74.21611,C(T),A,no,,none reported,brittle naiad,none reported,0,,,,NA,NA,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Goodnow Flow Association ,yes,*out 2016 for dam work,Adirondack,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
35,Gorton Lake,Madison,North Brookfield,19,8,340,138,17.6,,,9.2,2.8,no,0.49,1988-2006,42.85953,-75.35202,B,A,no,,none reported,Eurasian watermilfoil,none reported,0,,,,NA,Fully supported,Stressed,Fully supported,Fair,Fair,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,,,,Susquehanna River,,Central NY,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Goshen Reservoir,Orange,Goshen,,,,,,28.5,8.7,,,,,2018,41.3806,-74.3301,,,,,,,,,,,,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Gossamans Pond,Dutchess,Pawling,5,2,321,130,65.0,,,3.0,0.9,no,0.02,2003-2005,41.52389,-73.64492,B,,no,,none reported,Eurasian watermilfoil,none reported,0,,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,,,,Lower Hudson River,,mid Hudson,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
196,Grass Lake,St. Lawrence,Rossie,320,130,2361,955,7.4,50.5,15.4,23.7,7.2,no,2.15,"2004-2011, 2013-2018",44.34000,-75.71520,C,,no,,none reported,none reported,none reported,1.4,Lake of the Woods,2013,no,NA,NA,Stressed,Stressed,Good,Good,Fully supported,NA,NA,0,0,0,0,0,1,4,0,,Grass Lake Association ,yes,"Gerard Cole, Jim Ninos",Adirondack,St. Lawrence River,western Adk,western Adk,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
,Great Sacandaga Lake,Fulton,Broadalbin,26805,10848,13050,5281,0.5,70.0,21.3,32.0,9.8,no,0.70,2012,43.10774,-74.18209,B,C,no,,,; brittle naiad; Curly leafed pondweed,none reported,0,,,,NA,Fully supported,Stressed,Stressed,Good,Fair,Impaired,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Upper Hudson River,eastern Adk,eastern Adk,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Green Lake,Onondaga,Manlius,64,26,1139,461,17.8,193.5,59.0,,27.1,yes,,2012,43.05044,-75.96638,B,,no,Green Lakes Beach,,none reported,none reported,8.4,Cazenovia Lake,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Seneca/Oneida/Oswego Rivers,,Central NY,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Green Pond,Onondaga,Lysander ,251,102,2211,895,8.8,,,,,yes,,2006,43.20501545,-76.3307225,,,no,,,,,,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,,,yes,"July: David Kelley, DH",,Seneca/Oneida/Oswego Rivers,,,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
194,Guilford Lake,Chenango,Guilford,70,29,526,213,7.5,62.3,19.0,29.3,8.9,no,2.44,"2004-2008, 2012-2018",42.41290,-75.49940,AA,C,yes,Guilford Lake,none reported,Eurasian watermilfoil,none reported,0,,,,Threatened,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,1,0,0,0,0,,Guilford Lake Association,yes,Tommy and Donna Shedd,Central,Susquehanna River,west central,Central NY,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
111,Gull Pond,Franklin,Altamont,282,114,1735,702,6.2,,,33.5,10.2,no,2.50,1994-1998,44.21015,-74.52793,C,,no,,none reported,none reported,none reported,10.4,Upper Saranac Lake-South,,,NA,NA,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,,,,St. Lawrence River,western Adk,western Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
126,Hadlock Pond,Washington,Fort Ann,275,111,5606,2269,20.4,38.4,11.7,16.4,5.0,no,0.48,"1997-2001, 2011-2015, 2017-2018",43.42370,-73.57257,AA(T),C,yes,Bruce's Campground,none reported,Eurasian watermilfoil; water chestnut; Curly leafed pondweed; brittle naiad,none reported,0,,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Poor,Fully supported,28-Jul,4-Aug,2,1,1,0,0,0,0,0,mechanical,"Lake Hadlock Association, Inc.",yes,,Adirondacks,Lake Champlain,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Hampton Manor Lake,Rensselaer,Rensselaer,13,5,242,98,18.8,11.0,3.3,5.0,1.5,no,0.17,2013,42.61809,-73.72675,C,A,no,,,Eurasian watermilfoil; Curly leafed pondweed; water chestnut,,0,,,,NA,NA,Stressed,Fully supported,Fair,Fair,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Lower Hudson River,,mid Hudson,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Harlem Meer,New York,New York City,12,5,302,122,25.4,5.2,1.6,,0.7,yes,,2014,40.7973,-73.953387,B,,no,,,Curly leafed pondweed,common carp,0,,"2014, 2015, 2016, 2017",yes,NA,Fully supported,Stressed,Fully supported,Poor,Fair,Fully supported,21-Jul,27-Oct,12,12,12,16,11,3,0,0,,,yes,,,Lower Hudson River,,NYC LI,LCI,no,,4,2,3,LCI,no,,,,,,,,,,,
,Harris Lake,Essex,Newcomb,275,111,47076,19051,171.0,,,,,yes,,,43.97416604,-74.14552221,B,,no,Newcomb Youth Program; Town of Newcomb Beach,,,,,,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,"August: David Kelley, Rebecca Gorney",,Upper Hudson River,eastern Adk,,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Harwood Lake,Cattaraugus,Franklinville,32,13,968,392,30.0,,,,,yes,,,42.38280092,-78.38007433,,,no,,,"Eurasian watermilfoil, curly leafed pondweed, European frogbit",none reported,0,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,,,yes,"July: David Kelley, DC",,Allegheny River,western NY,,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
36,Hatch Lake,Madison,West Eaton,134,54,875,354,6.5,61.3,18.7,21.7,6.6,no,3.60,"1988-1996, 1998-2001, 2004, 2011-2015, 2017-2018",42.83460,-75.67780,B,A,no,Shiloh Christian Family Campground,none reported,Eurasian watermilfoil; Curly leafed pondweed,zebra mussels,0,,2012,no,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,1,0,3,physical,Hatch-Bradley Brook Lakes Association ,yes,"Kenneth Walterick, Thomas Hofstead",Central,Susquehanna River,west central,Central NY,CSLAP,no,,1,1,0,CSLAP,yes,,,,,,,,,,,
70,Hedges Lake,Washington,Jackson,115,47,642,260,5.6,,,27.9,8.5,no,3.30,1990-1995,43.10695,-73.38279,B,A,no,,none reported,Eurasian watermilfoil; Curly leafed pondweed,zebra mussels,0,,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,,,,Upper Hudson River,eastern Adk,Mohawk,CSLAP,no,,0,0,0,CSLAP,yes,,,,,,,,,,,
254,Hemlock Lake,"Livingston, Ontario","Conesus, Springwater, Canadice, Livonia",1623,657,27456,11111,16.9,90.2,27.5,44.6,13.6,no,,2017-2018,42.72411612,-77.60773234,AA(T),C,yes,,,"Eurasian Watermilfoil, Brittle Naiad, Curly Leafed Pondweed",Zebra Mussel,0,,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,City of Rochester,,,,,,,,,,,,,,,,,,,,,,,,,
,Henderson Lake,Essex,Newcomb,224,91,10908,4414,48.7,,,,,yes,,,44.09198488,-74.06672789,AA(T),A,yes,,,,,,,,,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,"August: David Kelley, Rebecca Gorney",,Upper Hudson River,eastern Adk,,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Hiawatha Lake,Onondaga,Syracuse,13,5,59,24,4.6,,,,,yes,,"2016, 2017",43.02578246,-76.16871007,C,,no,,,Eurasian watermilfoil; curly-leafed pondweed,,,,,,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,30-Jun,27-Oct,13,5,5,1,0,0,0,0,,,yes,"July: David Kelley, DH",,Seneca/Oneida/Oswego Rivers,,,LCI,no,,1,1,0,LCI,no,,,,,,,,,,,
189,Highland Lake,Orange,Wallkill,96,39,481,195,5.0,19.0,5.8,15.4,4.7,no,2.00,"2003-2005, 2008-2010, 2018",41.52987,-74.84934,AA,B,yes,,none reported,none reported,none reported,6.7,Swinging Bridge Reservoir,,,Threatened,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,,,,Delaware River,Mid Atlantic,lower Hudson,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
112,Hillside Lake,Dutchess,East Fishkill,26,10,138,56,5.4,,,1.6,0.5,no,0.18,1994-1996,41.61764,-73.79738,B,B,no,,none reported,none reported,none reported,6.2,Wappinger Lake,,,NA,Stressed,Impaired,Stressed,Poor,Poor,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,,,,Lower Hudson River,,Mid Hudson,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Hinckley Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hollister Lake,Greene,Athens,63,25,,,,24.9,7.6,,,,,2018,42.3110,-73.8857,,,,,,,,,,,,Stressed,Fully supported,Fully supported,Fully supported,Fair,Fair,Fully supported,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Honeoye Lake,Ontario,"Richmond, Canadice",1734,702,26688,10800,15.4,32.1,9.8,17.4,5.3,no,1.10,"1996-2000, 2017-2018",42.75246,-77.50832,AA,A,yes,Sandy Bottom Beach,none reported,Eurasian watermilfoil; Curly leafed pondweed,zebra mussels,0,,"2012, 2013, 2014, 2015, 2016, 2017",yes,Impaired,Impaired,Impaired,Fully supported,Poor,Poor,Unassessed,17-Jul,13-Oct,14,13,13,9,7,8,13,7,,Honeoeye Valley Association,,,,Genesee River,Finger Lakes,Finger Lakes,CSLAP,no,,6,2,3,CSLAP,yes,,,,,20,,,,,,
170,Horseshoe Pond,Franklin,Duane,51,21,1454,588,28.4,9.2,2.8,4.3,1.3,no,0.08,"2000-2010, 2012-2014, 2016-2018",44.66970,-74.29060,C,,no,Deer River Campsite Beach,none reported,Eurasian watermilfoil,none reported,0,,,,NA,NA,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Horseshoe Pond-Deer River Flow Association,yes,Robert Mayville,Adirondack,St. Lawrence River,western Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
107,Hunt Lake,Saratoga,Corinth,134,54,1384,560,10.3,26.2,8.0,12.3,3.8,no,1.00,"1994-1998, 2002-2013, 2015-2018",43.25980,-73.90500,B,,no,,none reported,fanwort,none reported,0,,,,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Hunt Lake Association,yes,Bob Cady,Adirondack,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
156,Hyde Lake,Jefferson,Theresa,186,75,1211,490,6.5,18.0,5.5,11.5,3.5,no,1.16,"1999-2001, 2003-2004, 2008-2012, 2014",44.24320,-75.83299,B,A,no,Wilson's Hyde Lake Campground; Gibbs' Hyde Lake North Beach,none reported,Eurasian watermilfoil,none reported,0,,,,NA,Stressed,Stressed,Stressed,Fair,Good,Fully supported,25-Aug,25-Aug,1,1,1,0,0,0,0,0,,Save Hyde Lake Association,,,Adirondacks,Lake Ontario,Ontario,western Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,3,,,,,,
,Ilion Reservoir Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Indian Lake,Franklin,Mountain View,307,124,18155,7347,59.1,74.1,22.6,11.2,3.4,no,0.83,"1986-1990, 1995-1997",44.71659,-74.13439,B(T),,no,4-H Camp Overlook,none reported,Eurasian watermilfoil,none reported,0,,,,NA,Fully supported,Stressed,Stressed,Good,Fair,Fully supported,NA,NA,0,0,0,0,0,0,0,0,physical,"Mountain View Assn, Inc.",,*,,St. Lawrence River,western Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Indian Lake,Hamilton,"Indian Lake, Lake Pleasant",4365,1766,83104,33630,19.0,85.0,25.9,39.0,11.9,no,0.90,2012,43.721748,-74.302485,AA,"A,C",yes,Camp Driftwood; Twin Coves Cottages; Timberlock Camp; Smith's Cottages; Sandy Beach Camps; Point Breeze Motel,,none reported,none reported,5.1,Lake Celeste,,,Fully supported,Fully supported,Fully supported,Stressed,Good,Fair,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Upper Hudson River,eastern Adk,eastern Adk,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
113,Indian Lake,Putnam,Putnam Valley,51,21,219,89,4.3,62.3,19.0,30.2,9.2,no,5.00,"1994-1996, 1998-2001, 2003-2011, 2013-2018",41.37310,-73.88770,A,A,yes,Stapf's Farm Beach,none reported,none reported,none reported,0.9,Adirondack Lake,,,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Indian Lake Association (Putnam County),yes,"Ingrid Caruso Gersin, John Christian, Laurie Levy, Steve Altarescu, Lynn and Phillip Ammann",Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Irondequoit Bay,Monroe,Webster,1715,694,107699,43583,62.8,73.8,22.5,,10.4,yes,,2016,43.2317904,-77.5321484,B,,no,,,Eurasian watermilfoil; Curly leafed pondweed,zebra mussels,0,,,,NA,Stressed,Stressed,Unassessed,Fair,Fair,Impaired,NA,NA,0,0,0,0,0,0,0,0,,,yes,"June: David Kelley, David Neuman; July: David Kelley, BL, BC; August: David Kelley, BL, BC",,Lake Ontario,Ontario,Finger Lakes,LCI,yes,,0,0,0,LCI,yes,,,,,,,,,,,
