OBJECTID_1,GNIS_ID,GNIS_Name,ReachCode,FType,FCode,SepticLoad,Developed,Agricultur,Forest,TotalLoad,wsAcres,LakeAcres,LkAreaLoad,PtSource,BasinName,BasNumber,Shape_Leng,NHDshort,Resolution,LakeID,FIN,County,Type,Water,Alt_Name,Beach,M_BAS_NAME,BASIN_NAME,LocationID,PWS,Class,PWL_ID,LocName,Lat,Long,AnthroLoad,YearSample,OBJECTID_12,PWL_ID_1,WIN,NAME,DESCRIPT,BASIN,WBTYPE,LGTH_AREA,WSUP_USEASMT,WSUP_DCMT,SHEL_USEASMT,SHEL_DCMT,BATH_USEASMT,BATH_DCMT,RECR_USEASMT,RECR_DCMT,CONS_USEASMT,CONS_DCMT,AQAT_USEASMT,AQAT_DCMT,HABH_USEASMT,AEST_USEASMT,WBCATGRY,MGMTSTAT,UPDATE_YR,FACT_SHEET
339,964396,Sand Pond,2.0401E+12,390,39009,14.7015,0.301256,8.50659,14.655798,38.1651,229.994,65.495,0.582718192,0,Delaware River Basin,14,0.020984814,1001335,2,1401SAN0255,D-53-2-13-P255,Sullivan,Lake,Sand Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401SAN0255_C,No,B,1401-0131,Sand Pond Centroid,41.8644981,-74.8853989,0.358948042, ,1820,1401-0131,D-53-2-13-P255,Sand Pond,entire lake,Delaware River,L,64,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0131.pdf
340,964931,Shandelee Lake,2.0401E+12,390,39009,10.291,7.673162,30.184494,40.764912,88.9136,565.213,85.5689,1.039087881,0,Delaware River Basin,14,0.030322663,2000521,2,1403SHA0299,D-70-20-25-8-2-P299,Sullivan,Lake,Shandelee Lake, ,No,Delaware River Basin,East Branch Delaware River,1403SHA0299_C,No,B,1403-0061,Shandelee Lake Centroid,41.8843002,-74.8731003,0.562689108,2009,1136,1403-0061,D-70-20-25- 8-2-P299,Shandelee Lake,entire lake,Delaware River,L,88.1,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,No Known Impact,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0061.pdf
341,952785,Highland Lake,2.0401E+12,390,39009,69.097,20.76302,3.969742,64.983673,158.813,910.586,204.25,0.777544264,0,Delaware River Basin,14,0.057257392,4002263,2,1401HIG0179,D-25-9-P179,Sullivan,Lake,Highland Lake, ,Yes,Delaware River Basin,Delaware River Main Stem,1401HIG0179_C,No,B,1401-0085,Highland Lake Centroid,41.5293999,-74.848999,0.45938471,2009,2034,1401-0085,D-25- 9-P179,Highland Lake,entire lake,Delaware River,L,203.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0085.pdf
342,948110,Lake DeVenoge,2.0401E+12,390,39009,41.1642,7.57865,0,4.781482,53.5243,136.163,71.6819,0.746691857,0,Delaware River Basin,14,0.021976905,4002271,2,1401DEV0174,D-16-10-P174,Sullivan,Lake,Lake Devenoge,Lake Devonoge,No,Delaware River Basin,Delaware River Main Stem,1401DEV0174_C,No,B,1401-0080,Lake Devenoge Centroid,41.5209999,-74.8394012,0.679987807,2017,1801,1401-0080,D-16-10-P174,Lake Devenogue/Upper Highland Lake,entire lake,Delaware River,L,71.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0080.pdf
343,948271,Lake Delaware,2.0401E+12,390,39011,0,0,24.190962,19.348322,43.5393,307.31,69.1782,0.629378663,0,Delaware River Basin,14,0.024869482,1001256,2,1404DEL0420,D-71-61-7-P420,Delaware,Lake,Lake Delaware, ,No,Delaware River Basin,West Branch Delaware River,1404DEL0420_C,No,B,1404-0072,Lake Delaware Centroid,42.235199,-74.8258972,0.34969077, ,1663,1404-0072,D-71-61- 7-P420,Lake Delaware,entire lake,Delaware River,L,69.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1404-0072.pdf
344,956720,McAuleys Lake,2.0401E+12,390,39009,4.410446,2.864883,0,20.949562,28.2249,237.948,16.9352,1.666640548,0,Delaware River Basin,14,0.012121482,4002229,2,1401MCA0089A,D-10-11-2-P89-1-P89A,Sullivan,Lake,Mcauleys Lake, ,No,Delaware River Basin,Delaware River Main Stem,1401MCA0089A_C,No,B,1401-0035,Mcauleys Lake Centroid,41.5696983,-74.7679977,0.429598588, ,1141,1401-0035,"D-10-11- 2-P89,P89a,P90","Forest Glen, McAuleys, Shilling Lakes",total area of all three lakes,Delaware River,L,47.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0035.pdf
345,967940,Tunis Lake,2.0401E+12,390,39011,5.880594,13.780975,18.241909,58.890064,96.7935,688.822,17.9027,5.406644864,0,Delaware River Basin,14,0.01660989,1001257,2,1404TUN0422,D-71-61-10-P421-1-P422,Delaware,Lake,Tunis Lake, ,No,Delaware River Basin,West Branch Delaware River,1404TUN0422_C,No,BTS,1404-0074,Tunis Lake Centroid,42.2346001,-74.7774963,2.117191038, ,1292,1404-0074,D-71-61-10-P422,Tunis Lake,entire lake,Delaware River,L,19.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1404-0074.pdf
346,950393,Forest Glen Lake,2.0401E+12,390,39004,33.8134,37.042645,4.720323,299.810025,375.386,3247.31,12.7099,29.535,0,Delaware River Basin,14,0.012423228,4002232,2,1401FOR0089,D-10-11-2-P89,Sullivan,Lake,Forest Glen Lake, ,No,Delaware River Basin,Delaware River Main Stem,1401FOR0089_C,No,B,1401-0035,Forest Glen Lake Centroid,41.5639992,-74.7633972,5.946228924, ,1141,1401-0035,"D-10-11- 2-P89,P89a,P90","Forest Glen, McAuleys, Shilling Lakes",total area of all three lakes,Delaware River,L,47.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0035.pdf
347,954437,Kees Lake,2.0401E+12,390,39011,1.470149,2.48093,4.631365,15.812249,24.3947,180.689,7.271039796,3.355048753,0,Delaware River Basin,14,0.00993345,4002074,2,1401KEE0159B,D-10-P158-2-1-P159B,Sullivan,Lake,Kees Lake, ,No,Delaware River Basin,Delaware River Main Stem,1401KEE0159B_C,No,B,1401-0071,Kees Lake Centroid,41.8204994,-74.7033005,1.180360889, ,1798,1401-0071,D-10-29-P156 thru P160,Minor Lake Tribs to Middle Branch,total area of selected lakes,Delaware River,L,73.5,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0071.pdf
348,958883,North Pond,2.0401E+12,390,39009,2.940297,2.150139,10.041112,19.125927,34.2575,272.467,56.732,0.603847476,0,Delaware River Basin,14,0.023274091,2000510,2,1403NOR0316,D-70-20-25-9-P316,Sullivan,Lake,North Pond, ,No,Delaware River Basin,East Branch Delaware River,1403NOR0316_C,No,BT,1403-0068,North Pond Centroid,41.8973007,-74.7097015,0.266720246, ,1232,1403-0068,D-70-20-25- 9-P316,North Pond,entire lake,Delaware River,L,55.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0068.pdf
349,947703,Crane Pond,2.0401E+12,390,39004,24.9925,37.054459,0.756141,648.546841,1058.38,6677,7.776725555,136.096,347.027,Delaware River Basin,14,0.011153485,4002244,2,1401STE0033,D-1-22-P33,Sullivan,Lake,Stephen Crane Lake, ,No,Delaware River Basin,Delaware River Main Stem,1401STE0033_C,No,B,1402-0044,Stephen Crane Lake Centroid,41.5391006,-74.6855011,52.7, ,1237,1402-0044,"D- 1-22-P33,P35,P36","Crane, Gilman Ponds, Melody Lake",total area of all three lakes,Delaware River,L,53.7,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1402-0044.pdf
350,954583,Kiamesha Lake,2.0401E+12,390,39009,2.940297,116.526912,1.701318,28.221862,149.39,614.788,150.45,0.992957056,0,Delaware River Basin,14,0.033310908,4002135,2,1402KIA0044,D-1-38-3-P44,Sullivan,Lake,Kiamesha Lake, ,No,Delaware River Basin,Neversink,1402KIA0044_C,Yes,A,1402-0003,Kiamesha Lake Centroid,41.676899,-74.6663971,0.805371472,2015,2061,1402-0003,D- 1-38-3-P44,Kiamesha Lake,entire lake,Delaware River,L,145.5,Stressed,Unconfirmed,UnAssessed,-,UnAssessed,-,Stressed,Unconfirmed,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,Needs Verification,Assessment/Reassessment Scheduled,7/5/2002 0:00,https://www.dec.ny.gov/data/WQP/PWL/1402-0003.pdf
351,956587,Martin Lake,2.0401E+12,390,39009,54.3955,119.350447,48.376364,345.934645,568.057,3822.35,72.2698,7.860225862,0,Delaware River Basin,14,0.058218354,4002331,2,1402MAR0002,D-1-2-P2,Orange,Lake,Martin Lake, ,No,Delaware River Basin,Neversink,1402MAR0002_C,No,CT,1402-0026,Martin Lake Centroid,41.4006996,-74.6546021,3.073515563,2004,2090,1402-0026,D- 1- 2-1-P2,Martin Lake,entire lake,Delaware River,L,65.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1402-0026.pdf
352,943938,Big Pond,2.0401E+12,390,39009,30.8731,3.142511,0,61.758953,95.7746,696.895,76.9564,1.244530448,0,Delaware River Basin,14,0.053312959,4002293,2,1401BIG0075,D-5-P73-2-P75,Orange,Lake,Big Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401BIG0075_C,No,B,1401-0024,Big Pond Centroid,41.4682007,-74.6610031,0.442011931, ,1564,1401-0024,D- 5- P73- 2- P75,Big Pond,entire lake,Delaware River,L,71.5,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0024.pdf
353,957683,Morningside Lake,2.0401E+12,390,39009,36.7537,198.019551,34.476707,164.282817,6826.14,2321.72,130.394,52.3501,6392.61,Delaware River Basin,14,0.043384565,4002094,2,1402MOR0050,D-1-38-P50,Sullivan,Lake,Morningside Lake,"Morning Dale Lake, Morningdale lake",No,Delaware River Basin,Neversink,1402MOR0050_C,No,B,1402-0001,Morningside Lake Centroid,41.7512016,-74.651001,51.0902,2015,2060,1402-0001,D- 1-38-P50,Hill Pond/Morningside Lake,entire lake,Delaware River,L,129.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Threatened,Suspected,UnAssessed,UnAssessed,Needs Verification,Assessment/Reassessment Scheduled,7/5/2002 0:00,https://www.dec.ny.gov/data/WQP/PWL/1402-0001.pdf
354,943528,Beecher Lake,2.0401E+12,390,39011,0,0.826977,0,54.731286,55.5583,569.775,21.2822,2.610550742,0,Delaware River Basin,14,0.015594641,2000452,2,1403BEE0348,D-70-20-61-P348,Ulster,Lake,Beecher Lake, ,No,Delaware River Basin,East Branch Delaware River,1403BEE0348_C,No,B,1403-0088,Beecher Lake Centroid,42.0430984,-74.6307983,0.038859422, ,1040,1403-0088,D-70-20-61-P348,Beecher Lake,entire lake,Delaware River,L,18.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0088.pdf
355,956052,Lake Louise Marie,2.0401E+12,390,39009,17.6418,99.780636,8.690065,20.260139,146.373,630.705,218.035,0.671326264,0,Delaware River Basin,14,0.074619097,4002168,2,1402LOU0040,D-1-35-P40,Sullivan,Lake,Lake Louise Marie, ,No,Delaware River Basin,Neversink,1402LOU0040_C,Yes,A,1402-0049,Lake Louise Marie Centroid,41.6052017,-74.5803986,0.578406499,2004,1215,1402-0049,D- 1-35-P40,McKee Reservoir/Lake Louise Marie,entire lake,Delaware River,L,215.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1402-0049.pdf
356,971801,Yankee Lake,2.0401E+12,390,39009,239.634,71.297198,1.134212,163.949225,476.015,2197.63,407.238,1.168886123,0,Delaware River Basin,14,0.100222537,4002183,2,1402YAN0021,D-1-12-8-P21,Sullivan,Lake,Yankee Lake, ,No,Delaware River Basin,Neversink,1402YAN0021_C,No,C,1402-0035,Yankee Lake Centroid,41.5849991,-74.5531006,0.76629827,2017,1603,1402-0035,D- 1-12- 8-P21,Yankee Reservoir,entire lake,Delaware River,L,395.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1402-0035.pdf
357,948200,Deer Lake,2.0401E+12,390,39010,52.9253,1.594883,2.268424,22.217211,79.0059,251.173,29.5198,2.676368573,0,Delaware River Basin,14,0.01926011,1001299,2,1404DEE0389,D-71-10-6-P389,Broome,Lake,Deer Lake, ,No,Delaware River Basin,West Branch Delaware River,1404DEE0389_C,No,B,1404-0038,Deer Lake Centroid,42.0596008,-75.5533981,1.923749111,2017,1922,1404-0038,"D-71-10- 6-P388,P389,P390","Fly Pond, Deer Lake, Sky Lake",total area of both lakes,Delaware River,L,30.7,UnAssessed,-,UnAssessed,-,Impaired,Known,Impaired,Known,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,Impaired,Verification of Pollutants/Causes Needed,11/3/2009 0:00,https://www.dec.ny.gov/data/WQP/PWL/1404-0038.pdf
358,955091,Laurel Lake,2.0401E+12,390,39009,61.7462,1.571256,7.27786,4.759242,75.3546,79.1382,11.1672,6.747850491,0,Delaware River Basin,14,0.009496329,1001307,2,1404LAU0382,D-P5426-1-P382,Broome,Lake,Laurel Lake, ,No,Delaware River Basin,West Branch Delaware River,1404LAU0382_C,No,B,1404-0033,Laurel Lake Centroid,42.0103989,-75.4803009,6.321670428,2016,1905,1404-0033,"D-71- 6-5-P381,P382","Blueberry, Laurel Lakes",total area of both lakes,Delaware River,L,10.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1404-0033.pdf
359,947190,Columbia Lake,2.0401E+12,390,39004,0,3.662325,1.134212,32.158245,36.9548,349.975,17.8662,2.06841869,0,Delaware River Basin,14,0.011827996,1001583,2,1404COL0379,D-71-4-P378-1-P379,Delaware,Lake,Columbia Lake, ,No,Delaware River Basin,West Branch Delaware River,1404COL0379_C,No,B,1404-0029,Columbia Lake Centroid,42.0494003,-75.376297,0.268470912, ,1610,1404-0029,D-71- 4-P378-1-P379,Columbia Lake,entire lake,Delaware River,L,17.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1404-0029.pdf
360,965257,Silver Lake,2.0401E+12,390,39009,0,18.748741,14.366685,174.357288,207.473,1904.45,26.9875,7.687733729,0,Delaware River Basin,14,0.017081818,1001297,2,1404SIL0378,D-71-4-P378,Delaware,Lake,Silver Lake, ,No,Delaware River Basin,West Branch Delaware River,1404SIL0378_C,No,B,1404-0028,Silver Lake Centroid,42.0368996,-75.3610992,1.227075943, ,1609,1404-0028,D-71- 4-P378,Silver Lake,entire lake,Delaware River,L,26.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1404-0028.pdf
361,960197,Perkins Pond,2.0401E+12,390,39011,0,0,0,26.420467,26.4205,292.151,28.1984,0.936949153,0,Delaware River Basin,14,0.014653904,2000468,2,1403PER0274,D-70-2-P274,Delaware,Lake,Perkins Pond, ,No,Delaware River Basin,East Branch Delaware River,1403PER0274_C,No,C,1403-0046,Perkins Pond Centroid,42.0686989,-75.2371979,1.17028E-06, ,1368,1403-0046,D-70- 2-P274,Perkins Pond,entire lake,Delaware River,L,27.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0046.pdf
362,953501,Lake Huntington,2.0401E+12,390,39009,13.2313,51.64469,8.88466,27.799312,101.56,464.064,81.9858,1.238751089,0,Delaware River Basin,14,0.026375077,1001498,2,1401HUN0216,D-37-8-P216,Sullivan,Lake,Lake Huntington, ,Yes,Delaware River Basin,Delaware River Main Stem,1401HUN0216_C,No,BT,1401-0008,Lake Huntington Centroid,41.6828995,-74.9904022,0.899676383,2015,1867,1401-0008,D-37- 8-P216,Lake Huntington,entire lake,Delaware River,L,80.1,UnAssessed,-,UnAssessed,-,UnAssessed,-,Stressed,Known,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,Minor Impacts,Verification of Pollutants/Causes Needed,7/10/2002 0:00,https://www.dec.ny.gov/data/WQP/PWL/1401-0008.pdf
363,958211,Lake Muskoday,2.0401E+12,390,39009,244.045,64.693199,15.217344,236.649987,560.605,2792.49,54.2875,10.3266,0,Delaware River Basin,14,0.034498007,2000523,2,1403MUS0280A,D-70-20-4-P280A,Sullivan,Lake,Lake Muskoday, ,No,Delaware River Basin,East Branch Delaware River,1403MUS0280A_C,No,B,1403-0054,Lake Muskoday Centroid,41.9121017,-74.9927979,5.967396049,2005,1044,1403-0054,D-70-20- 4- P280a,Muskoday Lake,entire lake,Delaware River,L,50.8,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0054.pdf
364,954417,Kazens Pond,2.0401E+12,390,39009,4.410446,6.391348,25.047181,25.953438,61.8024,360.46,30.4904,2.02694658,0,Delaware River Basin,14,0.020412533,1001481,2,1401KAZ5263,D-37-11-2-P5263,Sullivan,Lake,Kazens Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401KAZ5263_C,No,B,1401-0108,Kazens Pond Centroid,41.7013016,-74.9512024,1.175745874, ,1126,1401-0108,D-37-11-2-P???,Kazens Pond,entire lake,Delaware River,L,29.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0108.pdf
365,954519,Kenoza Lake,2.0401E+12,390,39010,102.91,95.893846,1057.641524,489.312379,1745.76,7596.02,90.2036,19.3535,0,Delaware River Basin,14,0.03441672,1001450,2,1401KEN0232,D-53-1-8-P232,Sullivan,Lake,Kenoza Lake, ,No,Delaware River Basin,Delaware River Main Stem,1401KEN0232_C,No,B,1401-0120,Kenoza Lake Centroid,41.7266998,-74.9464035,13.929,2010,1543,1401-0120,"D-53-1- 8-P232,P233,P234","Kenoza, Pine, Hust Lakes",total area of all three lakes,Delaware River,L,126.7,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,Threatened,,11/25/2002 0:00,https://www.dec.ny.gov/data/WQP/PWL/1401-0120.pdf
366,953537,Hust Pond,2.0401E+12,390,39009,5.880594,0.661581,5.765577,7.828286,20.136,102.761,11.5564,1.742414506,0,Delaware River Basin,14,0.013795891,1001381,2,1401HUS0239,D-53-1-13-1-P239,Sullivan,Lake,Hust Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401HUS0239_C,No,C,1401-0123,Hust Pond Centroid,41.8074989,-74.944603,1.065012807, ,1935,1401-0123,D-53-1- 8-P239,Hust Pond,entire lake,Delaware River,L,11.8,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0123.pdf
367,944382,Bodine Lake,2.0401E+12,390,39004,67.6268,8.387906,0,31.491061,107.506,377.654,21.8582,4.918328087,0,Delaware River Basin,14,0.013253273,4002285,2,1401BOD0185,D-30-2-P185,Sullivan,Lake,Bodine Lake, ,No,Delaware River Basin,Delaware River Main Stem,1401BOD0185_C,No,B,1401-0091,Bodine Lake Centroid,41.5220985,-74.9262009,3.477639467,2010,1823,1401-0091,"D-30-2-P185,P186","Bodine, Montgomery Lakes",total area of both lakes,Delaware River,L,39.1,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,-,Stressed,Known,UnAssessed,UnAssessed,UnAssessed,Verification of Sources Needed,8/20/2012 0:00,https://www.dec.ny.gov/data/WQP/PWL/1401-0091.pdf
368,967886,Trout Pond,2.0401E+12,390,39009,1.470149,3.225209,1.795836,113.465674,119.957,1308.02,16.1299,7.436925647,0,Delaware River Basin,14,0.013919622,4002219,2,1401TRO0196,D-30-P196,Sullivan,Lake,Trout Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401TRO0196_DH,No,B,1401-0096,TROUT LAKE (SULLIVAN) DEEP HOLE,41.6113014,-74.9160004,0.402440561,2005,1821,1401-0096,D-30-P196,Trout Pond,entire lake,Delaware River,L,16.8,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0096.pdf
369,953477,Hunter Lake,2.0401E+12,390,39009,20.5821,36.676413,347.897276,232.91376,638.07,3283.11,105.139,6.068818688,0,Delaware River Basin,14,0.048430898,1001449,2,1401HUN0237,D-53-1-8-P237,Sullivan,Lake,Hunter Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401HUN0237_C,No,B,1401-0122,Hunter Pond Centroid,41.7229996,-74.8998032,3.853529518, ,1776,1401-0122,D-53-1- 8-P237,Hunter Lake,entire lake,Delaware River,L,101.1,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0122.pdf
370,969049,Wells Pond,2.0401E+12,390,39004,0,11.991161,0,74.969186,86.9603,821.211,51.5066,1.688334058,0,Delaware River Basin,14,0.037888466,4002218,2,1401WEL0183,D-25-P183,Sullivan,Lake,Wells Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401WEL0183_C,No,C,1401-0088,Wells Pond Centroid,41.6099014,-74.8749008,0.23280733, ,1806,1401-0088,D-29-P183,Wells Pond,entire lake,Delaware River,L,50.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0088.pdf
371,945002,Brydon Lake,2.0401E+12,390,39011,1.470149,0.880139,4.725883,25.975678,33.0518,285.737,13.2009,2.503757244,0,Delaware River Basin,14,0.0092938,2000439,2,1403BRY0362,D-70-49-P362,Delaware,Lake,Brydon Lake, ,Yes,Delaware River Basin,East Branch Delaware River,1403BRY0362_C,No,B,1403-0095,Brydon Lake Centroid,42.1918983,-74.8684006,0.536033301, ,1042,1403-0095,D-70-49-P362,Brydon Lake,entire lake,Delaware River,L,11.4,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0095.pdf
372,957514,Mongaup Falls Reservoir,2.0401E+12,390,39010,1886.2,4286.225713,3956.770666,8337.658763,51403.4,102588,106.441,482.929,32936.6,Delaware River Basin,14,0.054865386,4002243,2,1401MON0096A,D-10-P96A,Sullivan,Lake,Mongaup Falls Reservoir, ,No,Delaware River Basin,Delaware River Main Stem,1401MON0096A_C,No,B,1401-0075,Mongaup Falls Reservoir Centroid,41.5471992,-74.7770996,404.597,2005,1547,1401-0075,D-10 (portion 4)/P96a,Mongaup Falls Reservoir,entire lake,Delaware River,L,99.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0075.pdf
373,977516,Pauls Pond,2.0401E+12,390,39004,8.820891,3.662325,1.039694,15.167305,28.6902,173.426,8.508550802,3.371927331,0,Delaware River Basin,14,0.00836029,4002115,2,1401PAU0127B,D-10-22-3A-P127B,Sullivan,Lake,Pauls Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401PAU0127B_C,No,B,1401-0062,Pauls Pond Centroid,41.7336998,-74.790802,1.589329994, ,1853,1401-0062,"D-10-22-P127a,P127b",Woods/Pauls Ponds,total area of both lakes,Delaware River,L,15.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0062.pdf
374,956432,Maple Lake,2.0401E+12,390,39004,2.940297,1.902046,5.848975,31.55778,42.2491,339.786,14.7074,2.872642207,0,Delaware River Basin,14,0.013596101,2000501,2,1403MAP0320,D-70-20-25-11-3-P320,Sullivan,Lake,Maple Lake, ,No,Delaware River Basin,East Branch Delaware River,1403MAP0320_C,No,B,1403-0070,Maple Lake Centroid,41.9360008,-74.7576981,0.72693474, ,1568,1403-0070,D-70-20-25-11- 3-P320,Maple Lake/Knapp Pond,entire lake,Delaware River,L,10.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0070.pdf
