SAMPLE_NAME,Characteristic Name,resultvalue,resultunit,labnamecode,Lab Sample Name,,,,,,,,
18-182.2-13,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018206019,,,,,,,,
18-182.2-13,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018206019,,,,,,,,
18-182.2-14,Chlorophyll a (probe relative fluorescence),0.50,µg/L,UFI,2018219067,,,,,,,,
18-182.2-14,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.40,µg/L,UFI,2018219067,,,,,,,,
18-182.2-14,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018219067,,,,,,,,
18-182.2-14,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018219067,,,,,,,,
18-182.2-14,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018219067,,,,,,,,
18-182.2-15,Chlorophyll a (probe relative fluorescence),1.20,µg/L,UFI,2018248043,,,,,,,,
18-182.2-15,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.80,µg/L,UFI,2018248043,,,,,,,,
18-182.2-15,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018248043,,,,,,,,
18-182.2-15,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.10,µg/L,UFI,2018248043,,,,,,,,
18-182.2-15,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018248043,,,,,,,,
18-182.2-16,Chlorophyll a (probe relative fluorescence),4.70,µg/L,UFI,2018267012,,,,,,,,
18-182.2-16,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.40,µg/L,UFI,2018267012,,,,,,,,
18-182.2-16,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.90,µg/L,UFI,2018267012,,,,,,,,
18-182.2-16,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.40,µg/L,UFI,2018267012,,,,,,,,
18-182.2-16,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018267012,,,,,,,,
18-182.2-17,Chlorophyll a (probe relative fluorescence),6.80,µg/L,UFI,2018283010,,,,,,,,
18-182.2-17,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",5.20,µg/L,UFI,2018283010,,,,,,,,
18-182.2-17,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.90,µg/L,UFI,2018283010,,,,,,,,
18-182.2-17,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.50,µg/L,UFI,2018283010,,,,,,,,
18-182.2-17,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018283010,,,,,,,,
18-182.2-99,Chlorophyll a (probe relative fluorescence),9.80,µg/L,UFI,2018267010,,,,,,,,
18-182.2-99,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",5.80,µg/L,UFI,2018267010,,,,,,,,
18-182.2-99,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",3.20,µg/L,UFI,2018267010,,,,,,,,
18-182.2-99,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.70,µg/L,UFI,2018267010,,,,,,,,
18-182.2-99,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018267010,,,,,,,,
18-182.3-01,Chlorophyll a (probe relative fluorescence),7.60,µg/L,UFI,2018186005,,,,,,,,
18-182.3-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",4.10,µg/L,UFI,2018186005,,,,,,,,
18-182.3-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",3.40,µg/L,UFI,2018186005,,,,,,,,
18-182.3-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018186005,,,,,,,,
18-182.3-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018186005,,,,,,,,
18-182.3-02,Chlorophyll a (probe relative fluorescence),9.60,µg/L,UFI,2018199044,,,,,,,,
18-182.3-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",9.40,µg/L,UFI,2018199044,,,,,,,,
18-182.3-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018199044,,,,,,,,
18-182.3-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018199044,,,,,,,,
18-182.3-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018199044,,,,,,,,
18-182.3-03,Chlorophyll a (probe relative fluorescence),6.30,µg/L,UFI,2018213012,,,,,,,,
18-182.3-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",6.00,µg/L,UFI,2018213012,,,,,,,,
18-182.3-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.30,µg/L,UFI,2018213012,,,,,,,,
18-182.3-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018213012,,,,,,,,
18-182.3-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018213012,,,,,,,,
18-182.3-04,Chlorophyll a (probe relative fluorescence),8.90,µg/L,UFI,2018227020,,,,,,,,
18-182.3-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",3.60,µg/L,UFI,2018227020,,,,,,,,
18-182.3-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",3.30,µg/L,UFI,2018227020,,,,,,,,
18-182.3-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.90,µg/L,UFI,2018227020,,,,,,,,
18-182.3-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018227020,,,,,,,,
18-182.3-05,Chlorophyll a (probe relative fluorescence),6.30,µg/L,UFI,2018240042,,,,,,,,
18-182.3-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.40,µg/L,UFI,2018240042,,,,,,,,
18-182.3-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.60,µg/L,UFI,2018240042,,,,,,,,
18-182.3-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.40,µg/L,UFI,2018240042,,,,,,,,
18-182.3-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.90,µg/L,UFI,2018240042,,,,,,,,
18-182.3-06,Chlorophyll a (probe relative fluorescence),5.00,µg/L,UFI,2018256027,,,,,,,,
18-182.3-06,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.80,µg/L,UFI,2018256027,,,,,,,,
18-182.3-06,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.60,µg/L,UFI,2018256027,,,,,,,,
18-182.3-06,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.00,µg/L,UFI,2018256027,,,,,,,,
18-182.3-06,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.70,µg/L,UFI,2018256027,,,,,,,,
18-182.3-07,Chlorophyll a (probe relative fluorescence),4.90,µg/L,UFI,2018269013,,,,,,,,
18-182.3-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",3.20,µg/L,UFI,2018269013,,,,,,,,
18-182.3-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.30,µg/L,UFI,2018269013,,,,,,,,
18-182.3-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.30,µg/L,UFI,2018269013,,,,,,,,
18-182.3-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.20,µg/L,UFI,2018269013,,,,,,,,
18-182.3-08,Chlorophyll a (probe relative fluorescence),4.00,µg/L,UFI,2018284024,,,,,,,,
18-182.3-08,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.20,µg/L,UFI,2018284024,,,,,,,,
18-182.3-08,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.70,µg/L,UFI,2018284024,,,,,,,,
18-182.3-08,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.60,µg/L,UFI,2018284024,,,,,,,,
18-182.3-08,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.40,µg/L,UFI,2018284024,,,,,,,,
18-182.3-B1,Chlorophyll a (probe relative fluorescence),3.50,µg/L,UFI,2018236008,,,,,,,,
18-182.3-B1,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.50,µg/L,UFI,2018236008,,,,,,,,
18-182.3-B1,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.00,µg/L,UFI,2018236008,,,,,,,,
18-182.3-B1,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.50,µg/L,UFI,2018236008,,,,,,,,
18-182.3-B1,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.40,µg/L,UFI,2018236008,,,,,,,,
18-182.4-01,Chlorophyll a (probe relative fluorescence),7.90,µg/L,UFI,2018179026,,,,,,,,
18-182.4-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",6.40,µg/L,UFI,2018179026,,,,,,,,
18-182.4-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.50,µg/L,UFI,2018179026,,,,,,,,
18-182.4-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018179026,,,,,,,,
18-182.4-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018179026,,,,,,,,
18-182.4-02,Chlorophyll a (probe relative fluorescence),4.20,µg/L,UFI,2018192052,,,,,,,,
18-182.4-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.40,µg/L,UFI,2018192052,,,,,,,,
18-182.4-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.80,µg/L,UFI,2018192052,,,,,,,,
18-182.4-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018192052,,,,,,,,
18-182.4-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018192052,,,,,,,,
18-182.4-03,Chlorophyll a (probe relative fluorescence),4.80,µg/L,UFI,2018208009,,,,,,,,
18-182.4-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",4.80,µg/L,UFI,2018208009,,,,,,,,
18-182.4-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018208009,,,,,,,,
18-182.4-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018208009,,,,,,,,
18-182.4-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018208009,,,,,,,,
18-182.4-04,Chlorophyll a (probe relative fluorescence),3.60,µg/L,UFI,2018219060,,,,,,,,
18-182.4-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.30,µg/L,UFI,2018219060,,,,,,,,
18-182.4-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.10,µg/L,UFI,2018219060,,,,,,,,
18-182.4-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.00,µg/L,UFI,2018219060,,,,,,,,
18-182.4-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018219060,,,,,,,,
18-182.4-05,Chlorophyll a (probe relative fluorescence),6.00,µg/L,UFI,2018236014,,,,,,,,
18-182.4-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.00,µg/L,UFI,2018236014,,,,,,,,
18-182.4-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.50,µg/L,UFI,2018236014,,,,,,,,
18-182.4-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.40,µg/L,UFI,2018236014,,,,,,,,
18-182.4-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.10,µg/L,UFI,2018236014,,,,,,,,
18-182.4-06,Chlorophyll a (probe relative fluorescence),6.90,µg/L,UFI,2018249033,,,,,,,,
18-182.4-06,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.40,µg/L,UFI,2018249033,,,,,,,,
18-182.4-06,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.50,µg/L,UFI,2018249033,,,,,,,,
18-182.4-06,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.40,µg/L,UFI,2018249033,,,,,,,,
18-182.4-06,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.40,µg/L,UFI,2018249033,,,,,,,,
18-182.4-07,Chlorophyll a (probe relative fluorescence),7.80,µg/L,UFI,2018263036,,,,,,,,
18-182.4-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",4.10,µg/L,UFI,2018263036,,,,,,,,
18-182.4-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.90,µg/L,UFI,2018263036,,,,,,,,
18-182.4-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.20,µg/L,UFI,2018263036,,,,,,,,
18-182.4-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.60,µg/L,UFI,2018263036,,,,,,,,
18-182.4-08,Chlorophyll a (probe relative fluorescence),8.50,µg/L,UFI,2018278001,,,,,,,,
18-182.4-08,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",5.20,µg/L,UFI,2018278001,,,,,,,,
18-182.4-08,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.90,µg/L,UFI,2018278001,,,,,,,,
18-182.4-08,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.80,µg/L,UFI,2018278001,,,,,,,,
18-182.4-08,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.70,µg/L,UFI,2018278001,,,,,,,,
18-182.4-11,Chlorophyll a (probe relative fluorescence),1.70,µg/L,UFI,2018179027,,,,,,,,
18-182.4-11,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.20,µg/L,UFI,2018179027,,,,,,,,
18-182.4-11,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.50,µg/L,UFI,2018179027,,,,,,,,
18-182.4-11,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018179027,,,,,,,,
18-182.4-11,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018179027,,,,,,,,
18-182.4-12,Chlorophyll a (probe relative fluorescence),12.00,µg/L,UFI,2018192053,,,,,,,,
18-182.4-12,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",11.70,µg/L,UFI,2018192053,,,,,,,,
18-182.4-12,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.30,µg/L,UFI,2018192053,,,,,,,,
18-182.4-12,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018192053,,,,,,,,
18-182.4-12,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018192053,,,,,,,,
18-182.4-13,Chlorophyll a (probe relative fluorescence),0.90,µg/L,UFI,2018208010,,,,,,,,
18-182.4-13,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.80,µg/L,UFI,2018208010,,,,,,,,
18-182.4-13,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.10,µg/L,UFI,2018208010,,,,,,,,
18-182.4-13,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018208010,,,,,,,,
18-182.4-13,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018208010,,,,,,,,
18-182.4-14,Chlorophyll a (probe relative fluorescence),0.60,µg/L,UFI,2018219061,,,,,,,,
18-182.4-14,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.50,µg/L,UFI,2018219061,,,,,,,,
18-182.4-14,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.10,µg/L,UFI,2018219061,,,,,,,,
18-182.4-14,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018219061,,,,,,,,
18-182.4-14,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018219061,,,,,,,,
18-182.4-15,Chlorophyll a (probe relative fluorescence),2.60,µg/L,UFI,2018236015,,,,,,,,
18-182.4-15,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.10,µg/L,UFI,2018236015,,,,,,,,
18-182.4-15,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.90,µg/L,UFI,2018236015,,,,,,,,
18-182.4-15,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.60,µg/L,UFI,2018236015,,,,,,,,
18-182.4-15,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018236015,,,,,,,,
18-182.4-16,Chlorophyll a (probe relative fluorescence),1.30,µg/L,UFI,2018249034,,,,,,,,
18-182.4-16,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.00,µg/L,UFI,2018249034,,,,,,,,
18-182.4-16,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.10,µg/L,UFI,2018249034,,,,,,,,
18-182.4-16,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.10,µg/L,UFI,2018249034,,,,,,,,
18-182.4-16,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018249034,,,,,,,,
18-182.4-17,Chlorophyll a (probe relative fluorescence),1.10,µg/L,UFI,2018263037,,,,,,,,
18-182.4-17,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.70,µg/L,UFI,2018263037,,,,,,,,
18-182.4-17,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018263037,,,,,,,,
18-182.4-17,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.20,µg/L,UFI,2018263037,,,,,,,,
18-182.4-17,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018263037,,,,,,,,
18-182.4-18,Chlorophyll a (probe relative fluorescence),2.30,µg/L,UFI,2018278002,,,,,,,,
18-182.4-18,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.50,µg/L,UFI,2018278002,,,,,,,,
18-182.4-18,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.40,µg/L,UFI,2018278002,,,,,,,,
18-182.4-18,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.30,µg/L,UFI,2018278002,,,,,,,,
18-182.4-18,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.10,µg/L,UFI,2018278002,,,,,,,,
18-182.5-01,Chlorophyll a (probe relative fluorescence),2.30,µg/L,UFI,2018184035,,,,,,,,
18-182.5-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.90,µg/L,UFI,2018184035,,,,,,,,
18-182.5-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.90,µg/L,UFI,2018184035,,,,,,,,
18-182.5-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.30,µg/L,UFI,2018184035,,,,,,,,
18-182.5-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.20,µg/L,UFI,2018184035,,,,,,,,
18-182.5-02,Chlorophyll a (probe relative fluorescence),3.50,µg/L,UFI,2018199046,,,,,,,,
18-182.5-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.80,µg/L,UFI,2018199046,,,,,,,,
18-182.5-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.50,µg/L,UFI,2018199046,,,,,,,,
18-182.5-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.20,µg/L,UFI,2018199046,,,,,,,,
18-182.5-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.10,µg/L,UFI,2018199046,,,,,,,,
18-182.5-03,Chlorophyll a (probe relative fluorescence),10.10,µg/L,UFI,2018213013,,,,,,,,
18-182.5-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",6.20,µg/L,UFI,2018213013,,,,,,,,
18-182.5-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.90,µg/L,UFI,2018213013,,,,,,,,
18-182.5-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.90,µg/L,UFI,2018213013,,,,,,,,
18-182.5-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018213013,,,,,,,,
18-182.5-04,Chlorophyll a (probe relative fluorescence),8.80,µg/L,UFI,2018226021,,,,,,,,
18-182.5-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",5.60,µg/L,UFI,2018226021,,,,,,,,
18-182.5-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.40,µg/L,UFI,2018226021,,,,,,,,
18-182.5-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.50,µg/L,UFI,2018226021,,,,,,,,
18-182.5-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.30,µg/L,UFI,2018226021,,,,,,,,
18-182.5-05,Chlorophyll a (probe relative fluorescence),15.90,µg/L,UFI,2018240035,,,,,,,,
18-182.5-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",7.90,µg/L,UFI,2018240035,,,,,,,,
18-182.5-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",6.30,µg/L,UFI,2018240035,,,,,,,,
18-182.5-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.50,µg/L,UFI,2018240035,,,,,,,,
18-182.5-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.20,µg/L,UFI,2018240035,,,,,,,,
18-182.5-06,Chlorophyll a (probe relative fluorescence),18.70,µg/L,UFI,2018255118,,,,,,,,
18-182.5-06,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",8.50,µg/L,UFI,2018255118,,,,,,,,
18-182.5-06,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",7.90,µg/L,UFI,2018255118,,,,,,,,
18-182.5-06,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.30,µg/L,UFI,2018255118,,,,,,,,
18-182.5-06,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.00,µg/L,UFI,2018255118,,,,,,,,
18-182.5-07,Chlorophyll a (probe relative fluorescence),14.50,µg/L,UFI,2018269005,,,,,,,,
18-182.5-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",6.60,µg/L,UFI,2018269005,,,,,,,,
18-182.5-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",5.50,µg/L,UFI,2018269005,,,,,,,,
18-182.5-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.80,µg/L,UFI,2018269005,,,,,,,,
18-182.5-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.60,µg/L,UFI,2018269005,,,,,,,,
18-182.5-08,Chlorophyll a (probe relative fluorescence),5.70,µg/L,UFI,2018283011,,,,,,,,
18-182.5-08,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",2.40,µg/L,UFI,2018283011,,,,,,,,
18-182.5-08,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.10,µg/L,UFI,2018283011,,,,,,,,
18-182.5-08,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.90,µg/L,UFI,2018283011,,,,,,,,
18-182.5-08,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.30,µg/L,UFI,2018283011,,,,,,,,
18-183-02,Chlorophyll a (probe relative fluorescence),4.40,µg/L,UFI,2018198056,,,,,,,,
18-183-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",3.60,µg/L,UFI,2018198056,,,,,,,,
18-183-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.40,µg/L,UFI,2018198056,,,,,,,,
18-183-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.30,µg/L,UFI,2018198056,,,,,,,,
18-183-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018198056,,,,,,,,
18-183-03,Chlorophyll a (probe relative fluorescence),5.80,µg/L,UFI,2018207099,,,,,,,,
18-183-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",4.40,µg/L,UFI,2018207099,,,,,,,,
18-183-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.40,µg/L,UFI,2018207099,,,,,,,,
18-183-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.10,µg/L,UFI,2018207099,,,,,,,,
18-183-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018207099,,,,,,,,
18-183-04,Chlorophyll a (probe relative fluorescence),7.00,µg/L,UFI,2018221046,,,,,,,,
18-183-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",4.80,µg/L,UFI,2018221046,,,,,,,,
18-183-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.90,µg/L,UFI,2018221046,,,,,,,,
18-183-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018221046,,,,,,,,
18-183-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.10,µg/L,UFI,2018221046,,,,,,,,
18-183-05,Chlorophyll a (probe relative fluorescence),8.80,µg/L,UFI,2018235023,,,,,,,,
18-183-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",5.00,µg/L,UFI,2018235023,,,,,,,,
18-183-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.50,µg/L,UFI,2018235023,,,,,,,,
18-183-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.60,µg/L,UFI,2018235023,,,,,,,,
18-183-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.60,µg/L,UFI,2018235023,,,,,,,,
18-183-06,Chlorophyll a (probe relative fluorescence),7.10,µg/L,UFI,2018249044,,,,,,,,
18-183-06,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",6.10,µg/L,UFI,2018249044,,,,,,,,
18-183-06,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.90,µg/L,UFI,2018249044,,,,,,,,
18-183-06,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018249044,,,,,,,,
18-183-06,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018249044,,,,,,,,
18-183-07,Chlorophyll a (probe relative fluorescence),4.30,µg/L,UFI,2018262024,,,,,,,,
18-183-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",3.10,µg/L,UFI,2018262024,,,,,,,,
18-183-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.80,µg/L,UFI,2018262024,,,,,,,,
18-183-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.40,µg/L,UFI,2018262024,,,,,,,,
18-183-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018262024,,,,,,,,
