"sample_delivery_group","sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.x","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","X.data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.y"
"R1808263","606340-MB1","D6919-09","09/11/2018 13:45:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808263-MB1",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,8e-04,8e-04,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808263","ALSRNY","Method Blank","WQ","LB","Lab","","09/11/2018 13:45:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808263","606532-MB1","SM10200H","09/13/2018 08:30:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808263-MB1",NA,250,"mL",NA,NA,NA,NA,NA,"","479-61-8","Chlorophyll A",NA,NA,"TRG","Yes","N","U",NA,"U",NA,NA,0.16,0.16,"ug/l","ug/l",NA,NA,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808263","ALSRNY","Method Blank","WQ","LB","Lab","","09/13/2018 08:30:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808263","606643-MB1","E353.2","09/13/2018 13:15:00","T",NA,"initial","WQ","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808263-MB1",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",NA,NA,"TRG","Yes","N","U",NA,"U",NA,7e-04,7e-04,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808263","ALSRNY","Method Blank","WQ","LB","Lab","","09/13/2018 13:15:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","D6919-09","09/12/2018 01:14:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-023",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0095,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","E353.2","09/13/2018 14:07:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-023",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.0058,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","E351.2","09/19/2018 16:04:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 20:48:00",NA,NA,"ALSRNY","quant","R1808357-023",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.76,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","SM2120B","09/01/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,5,"","",NA,NA,"ALSRNY","quant","R1808357-023",NA,0,"mL",NA,NA,NA,NA,NA,"","PHCOLOR","pH of Color Analysis",7.07,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","SM2120B","08/30/2018 10:15:00","T",NA,"initial","WA","LB",NA,NA,5,"","",NA,NA,"ALSRNY","quant","R1808357-023",NA,0,"mL",NA,NA,NA,NA,NA,"","COLOR","Color, True",110,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,5,"color unit","color unit",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","SM 2320 B","09/10/2018 17:03:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-023",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",10,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","E365.1","09/14/2018 12:15:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-007",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0153,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB020","E365.1","09/14/2018 11:05:00","D",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-008",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.002,0.002,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB020","WA","N","Field","","08/28/2018 11:55:00","18LCB020",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","SM5310C","09/11/2018 03:44:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-023",NA,42,"mL",NA,NA,NA,NA,42,"mL","TOC","TOTAL ORGANIC CARBON",8.7,NA,"TRG","Yes","Y","",NA,"",NA,0.05,NA,1,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","SM10200H","09/13/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,4,"","",NA,NA,"ALSRNY","quant","R1808357-023",NA,250,"mL",NA,NA,NA,NA,NA,"","479-61-8","Chlorophyll A",26.6,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.64,"ug/l","ug/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","E365.1","09/14/2018 12:28:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-023",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0261,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001","E365.1","09/14/2018 11:19:00","D",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-024",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)",0.0094,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","N","Field","","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001MS","E353.2","09/13/2018 14:08:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-023MS",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.501,NA,"SC","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",0.0058,0.5,0.501,99,NA,NA,NA,NA,"",75,125,20,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","MS","Lab","18LCB001","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB001MSD","E353.2","09/13/2018 14:10:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-023DMS",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.496,NA,"SC","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,0.0058,0.5,0.496,98,"1",75,125,20,NA,NA,NA,"R1808357","ALSRNY","18LCB001","WA","SD","Lab","18LCB001","08/29/2018 10:50:00","18LCB001",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","SM 2320 B","09/10/2018 16:30:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",21.2,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","D6919-09","09/11/2018 22:33:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0178,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","SM10200H","09/13/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,750,"mL",NA,NA,NA,NA,NA,"","479-61-8","Chlorophyll A",1.82,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.053,"ug/l","ug/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","SM2120B","08/30/2018 10:15:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,0,"mL",NA,NA,NA,NA,NA,"","COLOR","Color, True",29,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,1,"color unit","color unit",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E353.2","09/13/2018 13:57:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.0024,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E351.2","09/19/2018 17:04:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 20:48:00",NA,NA,"ALSRNY","quant","R1808357-013",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.33,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","SM2120B","09/01/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,0,"mL",NA,NA,NA,NA,NA,"","PHCOLOR","pH of Color Analysis",7.61,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E365.1","09/14/2018 12:18:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-013",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.014,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E300.0","09/06/2018 20:51:00","T",NA,"initial","WA","LB",NA,NA,10,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","14808-79-8","SULFATE (AS SO4)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.2,0.2,2,"mg/l","mg/l",NA,0.2,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","SM5910B","08/30/2018 14:28:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-013",NA,1,"mL",NA,NA,NA,NA,1,"mL","UV254","UV 254",0.117,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"1/cm","1/cm",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","SM5310C","09/10/2018 10:16:00","D",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-014",NA,42,"mL",NA,NA,NA,NA,42,"mL","DOC","Carbon, Dissolved Organic (DOC)",5.1,NA,"TRG","Yes","Y","",NA,"",NA,0.05,NA,1,"mg/l","mg/l",NA,0.05,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E365.1","09/14/2018 11:09:00","D",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/11/2018 15:21:00",NA,NA,"ALSRNY","quant","R1808357-014",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)",0.0064,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E200.7","09/07/2018 16:39:00","T",NA,"initial","WA","LB",NA,NA,1,"SW3010A","09/04/2018 00:00:00",NA,NA,"ALSRNY","quant","R1808357-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-96-5","Manganese",21.1,NA,"TRG","Yes","Y","",NA,"",NA,1.7,NA,10,"ug/l","ug/l",NA,1.7,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E200.8","09/11/2018 18:29:00","T",NA,"initial","WA","LB",NA,NA,1,"E200.0","09/04/2018 00:00:00",NA,NA,"ALSRNY","quant","R1808357-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-38-2","Arsenic",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.39,0.39,1,"ug/l","ug/l",NA,0.39,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB003","E200.7","09/07/2018 16:39:00","T",NA,"initial","WA","LB",NA,NA,1,"SW3010A","09/04/2018 00:00:00",NA,NA,"ALSRNY","quant","R1808357-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-89-6","Iron",415,NA,"TRG","Yes","Y","",NA,"",NA,13,NA,100,"ug/l","ug/l",NA,13,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB003","WA","N","Field","","08/29/2018 10:45:00","18LCB003",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB005","E351.2","09/19/2018 16:00:00","T",NA,"initial","WA","LB",NA,NA,1,"METHOD","09/18/2018 20:48:00",NA,NA,"ALSRNY","quant","R1808357-017",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.45,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB005","WA","N","Field","","08/29/2018 14:35:00","18LCB005",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB005","SM2120B","09/01/2018 08:30:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-017",NA,0,"mL",NA,NA,NA,NA,NA,"","PHCOLOR","pH of Color Analysis",7.27,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"pH units","pH units",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB005","WA","N","Field","","08/29/2018 14:35:00","18LCB005",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB005","E353.2","09/13/2018 14:00:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-017",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.0036,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB005","WA","N","Field","","08/29/2018 14:35:00","18LCB005",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"R1808357","18LCB005","SM5910B","08/30/2018 14:28:00","T",NA,"initial","WA","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1808357-017",NA,1,"mL",NA,NA,NA,NA,1,"mL","UV254","UV 254",0.102,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,NA,"1/cm","1/cm",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"R1808357","ALSRNY","18LCB005","WA","N","Field","","08/29/2018 14:35:00","18LCB005",NA,NA,NA,NA,NA,"08/30/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
